DATE,BAMLCC0A0CMTRIV
2000-11-02,1055.46
2000-11-03,1051.40
2000-11-06,1050.40
2000-11-07,1050.94
2000-11-08,1051.63
2000-11-09,1054.47
2000-11-10,1054.62
2000-11-13,1057.29
2000-11-14,1058.29
2000-11-15,1060.15
2000-11-16,1062.09
2000-11-17,1059.85
2000-11-20,1060.66
2000-11-21,1061.02
2000-11-22,1064.57
2000-11-23,1064.78
2000-11-24,1062.98
2000-11-27,1062.33
2000-11-28,1064.33
2000-11-29,1065.83
2000-11-30,1068.24
2000-12-01,1065.31
2000-12-04,1065.07
2000-12-05,1069.27
2000-12-06,1074.63
2000-12-07,1075.11
2000-12-08,1072.91
2000-12-11,1073.40
2000-12-12,1074.46
2000-12-13,1078.42
2000-12-14,1082.48
2000-12-15,1084.81
2000-12-18,1086.43
2000-12-19,1085.07
2000-12-20,1090.57
2000-12-21,1093.48
2000-12-22,1094.13
2000-12-25,.
2000-12-26,1093.46
2000-12-27,1090.07
2000-12-28,1088.24
2000-12-29,1088.72
2000-12-31,1089.13
2001-01-01,.
2001-01-02,1099.54
2001-01-03,1091.13
2001-01-04,1096.91
2001-01-05,1102.44
2001-01-08,1105.17
2001-01-09,1104.29
2001-01-10,1100.56
2001-01-11,1099.23
2001-01-12,1094.03
2001-01-15,1094.68
2001-01-16,1096.32
2001-01-17,1101.36
2001-01-18,1107.56
2001-01-19,1103.67
2001-01-22,1102.95
2001-01-23,1103.24
2001-01-24,1101.76
2001-01-25,1105.09
2001-01-26,1105.79
2001-01-29,1105.13
2001-01-30,1111.68
2001-01-31,1117.84
2001-02-01,1123.74
2001-02-02,1119.44
2001-02-05,1119.64
2001-02-06,1116.66
2001-02-07,1117.59
2001-02-08,1116.92
2001-02-09,1121.02
2001-02-12,1119.11
2001-02-13,1117.57
2001-02-14,1115.38
2001-02-15,1111.00
2001-02-16,1115.77
2001-02-19,1116.42
2001-02-20,1116.43
2001-02-21,1114.35
2001-02-22,1114.17
2001-02-23,1116.80
2001-02-26,1119.71
2001-02-27,1125.06
2001-02-28,1128.81
2001-03-01,1132.59
2001-03-02,1127.26
2001-03-05,1127.38
2001-03-06,1127.35
2001-03-07,1131.82
2001-03-08,1134.25
2001-03-09,1132.24
2001-03-12,1133.26
2001-03-13,1131.54
2001-03-14,1136.27
2001-03-15,1138.76
2001-03-16,1141.10
2001-03-19,1138.85
2001-03-20,1141.43
2001-03-21,1142.48
2001-03-22,1145.24
2001-03-23,1140.88
2001-03-26,1138.67
2001-03-27,1131.93
2001-03-28,1132.43
2001-03-29,1133.72
2001-03-30,1137.38
2001-03-31,1137.56
2001-04-02,1136.09
2001-04-03,1137.09
2001-04-04,1137.44
2001-04-05,1134.75
2001-04-06,1140.32
2001-04-09,1138.04
2001-04-10,1129.66
2001-04-11,1129.22
2001-04-12,1126.93
2001-04-13,.
2001-04-16,1121.06
2001-04-17,1125.83
2001-04-18,1130.32
2001-04-19,1124.31
2001-04-20,1125.58
2001-04-23,1130.68
2001-04-24,1130.60
2001-04-25,1129.02
2001-04-26,1134.64
2001-04-27,1128.70
2001-04-30,1131.60
2001-05-01,1135.28
2001-05-02,1137.15
2001-05-03,1141.95
2001-05-04,1142.83
2001-05-07,1142.69
2001-05-08,1141.96
2001-05-09,1144.96
2001-05-10,1139.16
2001-05-11,1128.12
2001-05-14,1132.44
2001-05-15,1130.32
2001-05-16,1133.36
2001-05-17,1135.71
2001-05-18,1136.99
2001-05-21,1138.21
2001-05-22,1138.26
2001-05-23,1138.52
2001-05-24,1133.74
2001-05-25,1134.24
2001-05-28,1134.91
2001-05-29,1135.17
2001-05-30,1135.89
2001-05-31,1143.17
2001-06-01,1145.71
2001-06-04,1148.54
2001-06-05,1152.86
2001-06-06,1153.49
2001-06-07,1150.56
2001-06-08,1148.27
2001-06-11,1152.11
2001-06-12,1155.04
2001-06-13,1154.68
2001-06-14,1157.51
2001-06-15,1155.93
2001-06-18,1155.25
2001-06-19,1155.26
2001-06-20,1156.31
2001-06-21,1157.78
2001-06-22,1162.40
2001-06-25,1161.91
2001-06-26,1157.67
2001-06-27,1156.93
2001-06-28,1151.59
2001-06-29,1148.12
2001-06-30,1148.33
2001-07-02,1152.63
2001-07-03,1151.51
2001-07-04,1151.74
2001-07-05,1148.72
2001-07-06,1151.89
2001-07-09,1154.22
2001-07-10,1157.39
2001-07-11,1156.95
2001-07-12,1159.47
2001-07-13,1159.86
2001-07-16,1163.44
2001-07-17,1163.49
2001-07-18,1169.66
2001-07-19,1168.86
2001-07-20,1169.33
2001-07-23,1171.41
2001-07-24,1173.07
2001-07-25,1169.09
2001-07-26,1170.35
2001-07-27,1174.25
2001-07-30,1177.29
2001-07-31,1180.49
2001-08-01,1179.11
2001-08-02,1175.48
2001-08-03,1174.56
2001-08-06,1175.57
2001-08-07,1175.37
2001-08-08,1182.17
2001-08-09,1180.47
2001-08-10,1182.89
2001-08-13,1184.37
2001-08-14,1183.64
2001-08-15,1181.74
2001-08-16,1184.12
2001-08-17,1188.95
2001-08-20,1184.88
2001-08-21,1185.90
2001-08-22,1185.72
2001-08-23,1187.91
2001-08-24,1185.96
2001-08-27,1185.64
2001-08-28,1191.32
2001-08-29,1195.15
2001-08-30,1195.64
2001-08-31,1193.30
2001-09-03,1193.78
2001-09-04,1184.22
2001-09-05,1185.73
2001-09-06,1192.07
2001-09-07,1194.95
2001-09-10,1192.31
2001-09-11,.
2001-09-12,.
2001-09-13,.
2001-09-14,1197.72
2001-09-17,1192.76
2001-09-18,1184.03
2001-09-19,1189.04
2001-09-20,1184.69
2001-09-21,1185.11
2001-09-24,1184.22
2001-09-25,1185.67
2001-09-26,1190.22
2001-09-27,1193.93
2001-09-28,1196.14
2001-09-30,1196.59
2001-10-01,1198.27
2001-10-02,1201.14
2001-10-03,1203.00
2001-10-04,1203.72
2001-10-05,1204.21
2001-10-08,1204.89
2001-10-09,1200.15
2001-10-10,1200.32
2001-10-11,1196.39
2001-10-12,1198.03
2001-10-15,1200.85
2001-10-16,1203.42
2001-10-17,1205.94
2001-10-18,1205.54
2001-10-19,1203.51
2001-10-22,1203.78
2001-10-23,1202.76
2001-10-24,1206.72
2001-10-25,1209.78
2001-10-26,1209.96
2001-10-29,1213.03
2001-10-30,1214.87
2001-10-31,1222.87
2001-11-01,1226.08
2001-11-02,1217.13
2001-11-05,1221.95
2001-11-06,1224.70
2001-11-07,1230.20
2001-11-08,1225.58
2001-11-09,1225.02
2001-11-12,1225.69
2001-11-13,1222.59
2001-11-14,1216.76
2001-11-15,1203.46
2001-11-16,1195.74
2001-11-19,1205.29
2001-11-20,1199.72
2001-11-21,1195.90
2001-11-22,1196.12
2001-11-23,1194.06
2001-11-26,1195.23
2001-11-27,1201.48
2001-11-28,1201.30
2001-11-29,1212.96
2001-11-30,1212.84
2001-12-03,1213.21
2001-12-04,1217.18
2001-12-05,1203.76
2001-12-06,1199.22
2001-12-07,1191.44
2001-12-10,1193.52
2001-12-11,1194.91
2001-12-12,1201.21
2001-12-13,1193.60
2001-12-14,1189.94
2001-12-17,1187.63
2001-12-18,1193.36
2001-12-19,1198.85
2001-12-20,1198.89
2001-12-21,1198.26
2001-12-24,1196.33
2001-12-25,.
2001-12-26,1194.03
2001-12-27,1199.78
2001-12-28,1198.68
2001-12-31,1205.70
2002-01-01,.
2002-01-02,1198.88
2002-01-03,1201.95
2002-01-04,1201.83
2002-01-07,1208.36
2002-01-08,1207.11
2002-01-09,1208.20
2002-01-10,1214.64
2002-01-11,1219.85
2002-01-14,1220.05
2002-01-15,1222.19
2002-01-16,1220.77
2002-01-17,1215.00
2002-01-18,1218.49
2002-01-21,1219.17
2002-01-22,1218.50
2002-01-23,1212.49
2002-01-24,1213.04
2002-01-25,1212.23
2002-01-28,1212.98
2002-01-29,1218.86
2002-01-30,1214.81
2002-01-31,1211.93
2002-02-01,1215.32
2002-02-04,1217.42
2002-02-05,1213.31
2002-02-06,1211.18
2002-02-07,1209.27
2002-02-08,1214.71
2002-02-11,1213.26
2002-02-12,1210.16
2002-02-13,1208.91
2002-02-14,1212.77
2002-02-15,1215.98
2002-02-18,1216.66
2002-02-19,1214.90
2002-02-20,1214.81
2002-02-21,1215.89
2002-02-22,1218.23
2002-02-25,1218.56
2002-02-26,1216.19
2002-02-27,1222.47
2002-02-28,1221.07
2002-03-01,1215.22
2002-03-04,1215.06
2002-03-05,1215.78
2002-03-06,1214.35
2002-03-07,1205.80
2002-03-08,1200.50
2002-03-11,1201.30
2002-03-12,1201.97
2002-03-13,1203.92
2002-03-14,1196.12
2002-03-15,1199.10
2002-03-18,1201.65
2002-03-19,1200.98
2002-03-20,1196.80
2002-03-21,1198.30
2002-03-22,1197.72
2002-03-25,1198.01
2002-03-26,1201.81
2002-03-27,1201.58
2002-03-28,1197.67
2002-03-29,.
2002-03-31,1198.30
2002-04-01,1197.65
2002-04-02,1202.48
2002-04-03,1207.46
2002-04-04,1207.74
2002-04-05,1211.91
2002-04-08,1210.50
2002-04-09,1212.77
2002-04-10,1211.37
2002-04-11,1211.93
2002-04-12,1214.85
2002-04-15,1217.16
2002-04-16,1214.76
2002-04-17,1213.58
2002-04-18,1216.10
2002-04-19,1216.99
2002-04-22,1216.21
2002-04-23,1214.67
2002-04-24,1218.94
2002-04-25,1218.34
2002-04-26,1219.60
2002-04-29,1214.44
2002-04-30,1213.84
2002-05-01,1214.13
2002-05-02,1211.30
2002-05-03,1216.42
2002-05-06,1215.37
2002-05-07,1215.62
2002-05-08,1208.89
2002-05-09,1211.38
2002-05-10,1214.77
2002-05-13,1209.77
2002-05-14,1204.88
2002-05-15,1207.47
2002-05-16,1211.23
2002-05-17,1207.46
2002-05-20,1212.16
2002-05-21,1215.75
2002-05-22,1219.00
2002-05-23,1217.50
2002-05-24,1218.63
2002-05-27,1219.33
2002-05-28,1221.61
2002-05-29,1226.14
2002-05-30,1228.75
2002-05-31,1229.49
2002-06-03,1230.09
2002-06-04,1232.29
2002-06-05,1230.70
2002-06-06,1232.51
2002-06-07,1228.83
2002-06-10,1230.80
2002-06-11,1233.47
2002-06-12,1234.97
2002-06-13,1237.83
2002-06-14,1243.60
2002-06-17,1240.39
2002-06-18,1240.70
2002-06-19,1247.16
2002-06-20,1239.30
2002-06-21,1243.67
2002-06-24,1236.88
2002-06-25,1237.72
2002-06-26,1238.19
2002-06-27,1232.07
2002-06-28,1229.17
2002-06-30,1229.64
2002-07-01,1231.50
2002-07-02,1232.67
2002-07-03,1232.46
2002-07-04,1232.71
2002-07-05,1226.42
2002-07-08,1230.71
2002-07-09,1236.74
2002-07-10,1243.80
2002-07-11,1242.21
2002-07-12,1244.10
2002-07-15,1240.17
2002-07-16,1233.42
2002-07-17,1236.95
2002-07-18,1239.98
2002-07-19,1239.92
2002-07-22,1243.09
2002-07-23,1239.72
2002-07-24,1230.09
2002-07-25,1231.87
2002-07-26,1229.38
2002-07-29,1218.54
2002-07-30,1219.07
2002-07-31,1230.31
2002-08-01,1235.13
2002-08-02,1241.45
2002-08-05,1238.61
2002-08-06,1230.73
2002-08-07,1237.08
2002-08-08,1232.58
2002-08-09,1238.42
2002-08-12,1240.41
2002-08-13,1245.20
2002-08-14,1248.41
2002-08-15,1244.31
2002-08-16,1236.95
2002-08-19,1240.98
2002-08-20,1253.04
2002-08-21,1253.13
2002-08-22,1249.03
2002-08-23,1254.31
2002-08-26,1257.13
2002-08-27,1253.34
2002-08-28,1257.88
2002-08-29,1260.99
2002-08-30,1262.64
2002-08-31,1262.82
2002-09-02,1263.10
2002-09-03,1270.84
2002-09-04,1271.29
2002-09-05,1274.22
2002-09-06,1265.91
2002-09-09,1265.84
2002-09-10,1269.84
2002-09-11,1264.55
2002-09-12,1273.03
2002-09-13,1277.47
2002-09-16,1280.18
2002-09-17,1282.01
2002-09-18,1282.11
2002-09-19,1284.98
2002-09-20,1282.96
2002-09-23,1286.10
2002-09-24,1284.17
2002-09-25,1278.76
2002-09-26,1279.07
2002-09-27,1283.71
2002-09-30,1287.29
2002-10-01,1281.55
2002-10-02,1282.47
2002-10-03,1281.76
2002-10-04,1278.81
2002-10-07,1278.40
2002-10-08,1271.28
2002-10-09,1270.12
2002-10-10,1262.90
2002-10-11,1259.77
2002-10-14,1260.47
2002-10-15,1251.38
2002-10-16,1247.54
2002-10-17,1242.46
2002-10-18,1242.30
2002-10-21,1239.73
2002-10-22,1239.16
2002-10-23,1239.79
2002-10-24,1246.89
2002-10-25,1251.11
2002-10-28,1255.23
2002-10-29,1265.16
2002-10-30,1264.68
2002-10-31,1270.86
2002-11-01,1267.67
2002-11-04,1267.06
2002-11-05,1267.70
2002-11-06,1274.13
2002-11-07,1286.15
2002-11-08,1289.59
2002-11-11,1290.28
2002-11-12,1289.83
2002-11-13,1291.27
2002-11-14,1284.38
2002-11-15,1286.55
2002-11-18,1292.49
2002-11-19,1295.29
2002-11-20,1290.69
2002-11-21,1289.33
2002-11-22,1288.33
2002-11-25,1288.77
2002-11-26,1295.30
2002-11-27,1284.78
2002-11-28,1285.01
2002-11-29,1288.17
2002-11-30,1288.41
2002-12-02,1290.88
2002-12-03,1289.05
2002-12-04,1292.19
2002-12-05,1296.19
2002-12-06,1298.12
2002-12-09,1301.24
2002-12-10,1301.35
2002-12-11,1305.86
2002-12-12,1306.53
2002-12-13,1302.98
2002-12-16,1300.70
2002-12-17,1304.47
2002-12-18,1309.65
2002-12-19,1316.42
2002-12-20,1316.92
2002-12-23,1316.54
2002-12-24,1319.46
2002-12-25,.
2002-12-26,1320.93
2002-12-27,1327.78
2002-12-30,1330.49
2002-12-31,1328.32
2003-01-01,.
2003-01-02,1314.99
2003-01-03,1316.10
2003-01-06,1315.92
2003-01-07,1320.48
2003-01-08,1324.20
2003-01-09,1313.50
2003-01-10,1316.22
2003-01-13,1320.21
2003-01-14,1323.43
2003-01-15,1323.90
2003-01-16,1322.87
2003-01-17,1325.88
2003-01-20,1326.58
2003-01-21,1328.63
2003-01-22,1332.20
2003-01-23,1330.86
2003-01-24,1334.11
2003-01-27,1330.66
2003-01-28,1330.77
2003-01-29,1327.04
2003-01-30,1331.47
2003-01-31,1332.92
2003-02-03,1333.29
2003-02-04,1337.63
2003-02-05,1333.50
2003-02-06,1338.03
2003-02-07,1340.57
2003-02-10,1336.93
2003-02-11,1338.60
2003-02-12,1341.23
2003-02-13,1344.23
2003-02-14,1338.98
2003-02-17,1339.67
2003-02-18,1340.41
2003-02-19,1345.84
2003-02-20,1348.58
2003-02-21,1345.68
2003-02-24,1349.26
2003-02-25,1351.31
2003-02-26,1354.20
2003-02-27,1355.77
2003-02-28,1360.72
2003-03-03,1364.21
2003-03-04,1365.22
2003-03-05,1366.38
2003-03-06,1364.20
2003-03-07,1365.71
2003-03-10,1368.66
2003-03-11,1366.61
2003-03-12,1365.64
2003-03-13,1356.79
2003-03-14,1359.40
2003-03-17,1353.05
2003-03-18,1348.14
2003-03-19,1344.76
2003-03-20,1342.41
2003-03-21,1338.14
2003-03-24,1347.24
2003-03-25,1347.68
2003-03-26,1350.80
2003-03-27,1352.87
2003-03-28,1356.39
2003-03-31,1361.96
2003-04-01,1362.96
2003-04-02,1357.74
2003-04-03,1360.16
2003-04-04,1357.85
2003-04-07,1355.27
2003-04-08,1360.48
2003-04-09,1363.13
2003-04-10,1360.81
2003-04-11,1358.59
2003-04-14,1356.88
2003-04-15,1362.09
2003-04-16,1366.30
2003-04-17,1366.57
2003-04-18,.
2003-04-21,1367.26
2003-04-22,1369.14
2003-04-23,1371.24
2003-04-24,1379.08
2003-04-25,1381.44
2003-04-28,1381.53
2003-04-29,1380.56
2003-04-30,1387.85
2003-05-01,1389.02
2003-05-02,1386.71
2003-05-05,1390.26
2003-05-06,1397.83
2003-05-07,1405.87
2003-05-08,1407.32
2003-05-09,1406.81
2003-05-12,1409.72
2003-05-13,1410.45
2003-05-14,1416.58
2003-05-15,1414.25
2003-05-16,1420.22
2003-05-19,1420.86
2003-05-20,1426.97
2003-05-21,1423.95
2003-05-22,1429.18
2003-05-23,1431.19
2003-05-26,1431.89
2003-05-27,1427.48
2003-05-28,1426.15
2003-05-29,1432.56
2003-05-30,1431.91
2003-05-31,1432.09
2003-06-02,1427.49
2003-06-03,1434.81
2003-06-04,1437.54
2003-06-05,1434.95
2003-06-06,1434.80
2003-06-09,1441.69
2003-06-10,1449.26
2003-06-11,1449.26
2003-06-12,1452.21
2003-06-13,1457.50
2003-06-16,1453.16
2003-06-17,1447.17
2003-06-18,1441.22
2003-06-19,1442.35
2003-06-20,1438.14
2003-06-23,1444.21
2003-06-24,1448.10
2003-06-25,1440.13
2003-06-26,1427.95
2003-06-27,1426.35
2003-06-30,1429.74
2003-07-01,1427.08
2003-07-02,1429.34
2003-07-03,1422.31
2003-07-04,1422.54
2003-07-07,1419.40
2003-07-08,1418.74
2003-07-09,1420.74
2003-07-10,1423.07
2003-07-11,1426.14
2003-07-14,1421.10
2003-07-15,1407.61
2003-07-16,1406.70
2003-07-17,1406.49
2003-07-18,1405.50
2003-07-21,1392.26
2003-07-22,1395.06
2003-07-23,1398.69
2003-07-24,1395.51
2003-07-25,1394.47
2003-07-28,1386.56
2003-07-29,1378.75
2003-07-30,1382.38
2003-07-31,1369.38
2003-08-01,1371.15
2003-08-04,1377.73
2003-08-05,1368.00
2003-08-06,1378.40
2003-08-07,1381.62
2003-08-08,1382.85
2003-08-11,1378.05
2003-08-12,1379.16
2003-08-13,1365.03
2003-08-14,1363.44
2003-08-15,1367.27
2003-08-18,1370.80
2003-08-19,1379.07
2003-08-20,1376.33
2003-08-21,1371.78
2003-08-22,1376.05
2003-08-25,1371.89
2003-08-26,1375.11
2003-08-27,1371.93
2003-08-28,1380.80
2003-08-29,1379.71
2003-08-31,1380.13
2003-09-01,1380.18
2003-09-02,1371.93
2003-09-03,1372.54
2003-09-04,1378.29
2003-09-05,1390.37
2003-09-08,1388.27
2003-09-09,1390.31
2003-09-10,1398.13
2003-09-11,1393.74
2003-09-12,1399.28
2003-09-15,1401.98
2003-09-16,1399.63
2003-09-17,1407.28
2003-09-18,1408.16
2003-09-19,1410.18
2003-09-22,1405.37
2003-09-23,1407.45
2003-09-24,1413.20
2003-09-25,1415.84
2003-09-26,1421.92
2003-09-29,1418.77
2003-09-30,1429.39
2003-10-01,1429.69
2003-10-02,1424.80
2003-10-03,1410.21
2003-10-06,1415.17
2003-10-07,1408.51
2003-10-08,1409.10
2003-10-09,1406.10
2003-10-10,1410.28
2003-10-13,1410.98
2003-10-14,1404.34
2003-10-15,1401.59
2003-10-16,1397.89
2003-10-17,1404.11
2003-10-20,1406.17
2003-10-21,1405.80
2003-10-22,1411.47
2003-10-23,1408.72
2003-10-24,1417.09
2003-10-27,1413.81
2003-10-28,1420.28
2003-10-29,1414.33
2003-10-30,1410.13
2003-10-31,1413.33
2003-11-03,1409.07
2003-11-04,1413.43
2003-11-05,1408.75
2003-11-06,1403.41
2003-11-07,1401.67
2003-11-10,1401.17
2003-11-11,1401.41
2003-11-12,1407.62
2003-11-13,1419.54
2003-11-14,1424.98
2003-11-17,1428.64
2003-11-18,1430.19
2003-11-19,1424.67
2003-11-20,1430.18
2003-11-21,1431.08
2003-11-24,1425.70
2003-11-25,1429.10
2003-11-26,1425.38
2003-11-27,1425.62
2003-11-28,1419.75
2003-11-30,1420.22
2003-12-01,1416.08
2003-12-02,1418.06
2003-12-03,1416.80
2003-12-04,1420.73
2003-12-05,1432.65
2003-12-08,1428.20
2003-12-09,1423.28
2003-12-10,1426.10
2003-12-11,1431.65
2003-12-12,1432.01
2003-12-15,1431.24
2003-12-16,1433.62
2003-12-17,1437.72
2003-12-18,1441.86
2003-12-19,1443.55
2003-12-22,1441.57
2003-12-23,1434.38
2003-12-24,1440.29
2003-12-25,.
2003-12-26,1444.49
2003-12-29,1439.67
2003-12-30,1436.59
2003-12-31,1438.70
2004-01-01,.
2004-01-02,1430.46
2004-01-05,1431.54
2004-01-06,1439.95
2004-01-07,1442.56
2004-01-08,1443.22
2004-01-09,1455.82
2004-01-12,1456.63
2004-01-13,1460.67
2004-01-14,1463.77
2004-01-15,1464.57
2004-01-16,1462.03
2004-01-19,1462.74
2004-01-20,1459.81
2004-01-21,1461.26
2004-01-22,1466.92
2004-01-23,1459.47
2004-01-26,1454.81
2004-01-27,1459.38
2004-01-28,1450.42
2004-01-29,1449.89
2004-01-30,1454.00
2004-01-31,1454.19
2004-02-02,1452.37
2004-02-03,1456.26
2004-02-04,1454.75
2004-02-05,1450.84
2004-02-06,1457.83
2004-02-09,1460.83
2004-02-10,1457.78
2004-02-11,1464.28
2004-02-12,1461.44
2004-02-13,1464.52
2004-02-16,1465.22
2004-02-17,1464.92
2004-02-18,1465.26
2004-02-19,1465.33
2004-02-20,1461.12
2004-02-23,1465.49
2004-02-24,1466.32
2004-02-25,1467.44
2004-02-26,1465.59
2004-02-27,1470.62
2004-02-29,1471.10
2004-03-01,1471.21
2004-03-02,1466.99
2004-03-03,1466.02
2004-03-04,1468.91
2004-03-05,1483.93
2004-03-08,1488.70
2004-03-09,1492.77
2004-03-10,1491.15
2004-03-11,1489.75
2004-03-12,1488.29
2004-03-15,1487.78
2004-03-16,1494.12
2004-03-17,1494.43
2004-03-18,1489.97
2004-03-19,1487.46
2004-03-22,1492.51
2004-03-23,1493.30
2004-03-24,1492.89
2004-03-25,1491.43
2004-03-26,1483.95
2004-03-29,1481.47
2004-03-30,1481.05
2004-03-31,1486.18
2004-04-01,1481.40
2004-04-02,1463.49
2004-04-05,1458.59
2004-04-06,1462.53
2004-04-07,1463.28
2004-04-08,1461.33
2004-04-09,.
2004-04-12,1460.25
2004-04-13,1452.26
2004-04-14,1448.54
2004-04-15,1446.36
2004-04-16,1450.52
2004-04-19,1449.22
2004-04-20,1446.20
2004-04-21,1444.44
2004-04-22,1449.24
2004-04-23,1442.90
2004-04-26,1445.35
2004-04-27,1447.58
2004-04-28,1441.97
2004-04-29,1436.65
2004-04-30,1440.00
2004-05-03,1440.51
2004-05-04,1436.91
2004-05-05,1434.13
2004-05-06,1429.86
2004-05-07,1416.88
2004-05-10,1415.64
2004-05-11,1416.82
2004-05-12,1414.62
2004-05-13,1410.52
2004-05-14,1416.06
2004-05-17,1422.62
2004-05-18,1420.51
2004-05-19,1416.70
2004-05-20,1422.05
2004-05-21,1419.21
2004-05-24,1421.69
2004-05-25,1422.93
2004-05-26,1427.23
2004-05-27,1433.83
2004-05-28,1429.14
2004-05-31,1429.80
2004-06-01,1426.05
2004-06-02,1423.65
2004-06-03,1424.55
2004-06-04,1419.67
2004-06-07,1421.82
